SampleID	Species	Latitude	Longitude	Altitude_m	Datum	Date	Seed	Collectors	Location	Comments	Trip_Comments
NSW0020	Eucalyptus melliodora	-33.16065146	149.5911186	640.8396	WGS84	07-JUL-19 11:58:13AM	Y	Helen Bothwell	"E side of rd, park on W"	Good seed tree	
NSW0023	Eucalyptus melliodora	-33.00137786	149.5706593	871.07373	WGS84	07-JUL-19 12:54:20PM	Y	Helen Bothwell	"Turn W onto Hills End Rd, dirt pulloff on S dside"	"Only 2 seeds, TONS of umbel bundles but for next year"	
NSW0025	Eucalyptus melliodora	-33.02776988	149.4436883	938.846191	WGS84	07-JUL-19 2:09:01PM	Y	Helen Bothwell	"Continuing W; tree on S side, pulloff on N side"	"Older tree at edge of dense forest, lots of peppermint type bark tree and snow gums, v few Emel here; lots of polyanthemos, higher elevation; seed, 5 valved"	
NSW0030	Eucalyptus melliodora	-33.43413628	149.5472441	756.4375	WGS84	07-JUL-19 5:30:07PM	Y	Helen Bothwell	S of Bathurst on E side of Boundary Rd S of A41	Great seed tree!	
NSW0034	Eucalyptus melliodora	-34.98076505	148.8550645	562.973389	WGS84	19-AUG-19 1:07:51PM	Y	Helen Bothwell	"S on Wee Jasper Rd. from Yass, pull off on E side of rd."	"Lots of fruit, mostly 5-valved some 4, umbels of 7"	
NSW0042	Eucalyptus melliodora	-35.10198011	148.6716486	381.766357	WGS84	19-AUG-19 5:02:48PM	Y	Helen Bothwell	"Continuing on Caves Rd. heading S, E side of rd"	"Big old tree, classic wavy bark, lots of 5-valved fruit"	
NSW0043	Eucalyptus melliodora	-35.12969177	148.6544524	451.221069	WGS84	19-AUG-19 5:25:45PM	Y	Helen Bothwell	Continuing on Wee Jasper Rd after turns to dirt	"Lots of seed, many 4-valved but also 5"	
NSW0047	Eucalyptus melliodora	-35.20175368	148.0307351	261.602539	WGS84	20-AUG-19 11:28:29AM	Y	Helen Bothwell	Go S on Gundagai Rd.	"Huge old tree, some seed, 5-valved and some 4"	
NSW0053	Eucalyptus sideroxylon	-35.28080978	147.7194433	261.842773	WGS84	20-AUG-19 2:36:12PM	Y	Helen Bothwell	Continuing N on Mate's Gulley Rd.	"Close to 0052, but has seed"	
NSW0054	Eucalyptus sideroxylon	-35.26500704	147.6920104	310.148682	WGS84	20-AUG-19 2:51:21PM	Y	Helen Bothwell	Continuing N on Mate's Gulley Rd.	Lots of seed	
NSW0056	Eucalyptus sideroxylon	-35.27284018	147.7017631	273.138306	WGS84	20-AUG-19 3:19:41PM	Y	Helen Bothwell	Back S on Mate's Gulley Rd.	"Old Esid, lots of seed"	
NSW0057	Eucalyptus sideroxylon	-35.2807625	147.7429167	258.237915	WGS84	20-AUG-19 3:46:31PM	Y	Helen Bothwell	S on Westbrook Rd out of Tarcutta	"Big old Esid, some seed"	
NSW0058	Eucalyptus melliodora	-35.31313241	147.774603	257.997559	WGS84	20-AUG-19 3:56:58PM	Y	Helen Bothwell	Continuing S	"Good Emel, BIG"	
NSW0059	Eucalyptus sideroxylon	-35.32370609	147.7886907	290.441895	WGS84	20-AUG-19 4:17:40PM	N	Helen Bothwell	"Continuing, W side of rd"	"Leaves only, Esid"	
NSW0060	Eucalyptus melliodora	-35.3735661	147.8100868	276.983521	WGS84	20-AUG-19 4:57:30PM	Y	Helen Bothwell	"W on Oberne-Umbango Rd., N side of rd"	"Good Emel, 5-valved fruits and many"	
NSW0061	Eucalyptus sideroxylon	-35.38459039	147.7846044	278.906128	WGS84	20-AUG-19 5:07:27PM	F	Helen Bothwell	W on Oberne-Umbango Rd.	"Esid, few fruits"	
NSW0067_1	Eucalyptus sideroxylon	-35.14584437	147.5388173	217.622437	WGS84	21-AUG-19 11:21:38AM	Y	Helen Bothwell	Wokolena Rd. N of A21	"Esid, seed"	
NSW0067_2	Eucalyptus sideroxylon	-35.14584437	147.5388173	217.622437	WGS84	21-AUG-19 11:21:38AM	Y	Helen Bothwell	Wokolena Rd. N of A21	"Esid, seed"	
NSW0069	Eucalyptus sideroxylon	-35.16186898	147.5825697	219.7854	WGS84	21-AUG-19 12:06:46PM	Y	Helen Bothwell	At reststop S side of A20	"Esid, lots of seed, flowering white; could be planted, but many Esid in wild nearby; loaded w seed which surely reflects the local pollen pool"	
NSW0074	Eucalyptus melliodora	-34.93740245	148.9884217	604.550293	WGS84	21-AUG-19 5:27:32PM	Y	Helen Bothwell	Turn W on Long Rail Gully Rd off A25 (Barton Hwy)	"TONS of fruits, good 5-valved, plump fruits, typical Emel. Many younger and resprout leaves on fronds like 0072, umbels of 7"	"Emel are different in drier Canberra area compared to wetter Gundagai/Wagga Wagga region, also lower elevation there; many ALA Emel seem to be misidentified in that region, w much smaller/barrely fruits, likely grey box further west"
NSW0078	Eucalyptus melliodora	-32.11770357	151.0914407	260.88147	WGS84	30-AUG-19 5:35:41PM	Y	Helen Bothwell	Close to NSW0077	"Has lots of fruit, good mature plump Emel, flowering"	
