library	run	sample	include	Project
NCT_1	2021_Bothwell_novogene_S4	NCT_1	N	HBDecra
NCT_3	2021_Bothwell_novogene_S4	NCT_3	N	HBDecra
NCT	2021_Bothwell_novogene_S4	NCT	N	HBDecra
NSW0020	2021_Bothwell_novogene_S4	NSW0020	Y	HBDecra
NSW0023	2021_Bothwell_novogene_S4	NSW0023	Y	HBDecra
NSW0025	2021_Bothwell_novogene_S4	NSW0025	Y	HBDecra
NSW0030	2021_Bothwell_novogene_S4	NSW0030	Y	HBDecra
NSW0034	2021_Bothwell_novogene_S4	NSW0034	Y	HBDecra
NSW0042	2021_Bothwell_novogene_S4	NSW0042	Y	HBDecra
NSW0043	2021_Bothwell_novogene_S4	NSW0043	Y	HBDecra
NSW0047	2021_Bothwell_novogene_S4	NSW0047	Y	HBDecra
NSW0053	2021_Bothwell_novogene_S4	NSW0053	Y	HBDecra
NSW0054	2021_Bothwell_novogene_S4	NSW0054	Y	HBDecra
NSW0056	2021_Bothwell_novogene_S4	NSW0056	Y	HBDecra
NSW0057	2021_Bothwell_novogene_S4	NSW0057	Y	HBDecra
NSW0058	2021_Bothwell_novogene_S4	NSW0058	Y	HBDecra
NSW0059	2021_Bothwell_novogene_S4	NSW0059	Y	HBDecra
NSW0060	2021_Bothwell_novogene_S4	NSW0060	Y	HBDecra
NSW0061	2021_Bothwell_novogene_S4	NSW0061	Y	HBDecra
NSW0067_1	2021_Bothwell_novogene_S4	NSW0067_1	Y	HBDecra
NSW0067_2	2021_Bothwell_novogene_S4	NSW0067_2	Y	HBDecra
NSW0067_1	2021_Bothwell_novogene_S4	NSW0067	Y	HBDecra
NSW0067_2	2021_Bothwell_novogene_S4	NSW0067	Y	HBDecra
NSW0069	2021_Bothwell_novogene_S4	NSW0069	Y	HBDecra
NSW0074	2021_Bothwell_novogene_S4	NSW0074	Y	HBDecra
NSW0078	2021_Bothwell_novogene_S4	NSW0078	Y	HBDecra
NSW0079	2021_Bothwell_novogene_S4	NSW0079	Y	HBDecra
NSW0082	2021_Bothwell_novogene_S4	NSW0082	Y	HBDecra
NSW0088	2021_Bothwell_novogene_S4	NSW0088	Y	HBDecra
NSW0091	2021_Bothwell_novogene_S4	NSW0091	Y	HBDecra
NSW0093	2021_Bothwell_novogene_S4	NSW0093	Y	HBDecra
NSW0096	2021_Bothwell_novogene_S4	NSW0096	Y	HBDecra
NSW0097	2021_Bothwell_novogene_S4	NSW0097	Y	HBDecra
NSW0098	2021_Bothwell_novogene_S4	NSW0098	Y	HBDecra
NSW0101	2021_Bothwell_novogene_S4	NSW0101	Y	HBDecra
NSW0105	2021_Bothwell_novogene_S4	NSW0105	Y	HBDecra
NSW0106	2021_Bothwell_novogene_S4	NSW0106	Y	HBDecra
NSW0108	2021_Bothwell_novogene_S4	NSW0108	Y	HBDecra
NSW0113	2021_Bothwell_novogene_S4	NSW0113	Y	HBDecra
NSW0114	2021_Bothwell_novogene_S4	NSW0114	Y	HBDecra
NSW0116	2021_Bothwell_novogene_S4	NSW0116	Y	HBDecra
NSW0118	2021_Bothwell_novogene_S4	NSW0118	Y	HBDecra
NSW0120	2021_Bothwell_novogene_S4	NSW0120	Y	HBDecra
NSW0128_1	2021_Bothwell_novogene_S4	NSW0128_1	Y	HBDecra
NSW0128_2	2021_Bothwell_novogene_S4	NSW0128_2	Y	HBDecra
NSW0128_1	2021_Bothwell_novogene_S4	NSW0128	Y	HBDecra
NSW0128_2	2021_Bothwell_novogene_S4	NSW0128	Y	HBDecra
NSW0129	2021_Bothwell_novogene_S4	NSW0129	Y	HBDecra
NSW0131	2021_Bothwell_novogene_S4	NSW0131	Y	HBDecra
NSW0137	2021_Bothwell_novogene_S4	NSW0137	Y	HBDecra
NSW0142	2021_Bothwell_novogene_S4	NSW0142	Y	HBDecra
NSW0148	2021_Bothwell_novogene_S4	NSW0148	Y	HBDecra
NSW0153	2021_Bothwell_novogene_S4	NSW0153	Y	HBDecra
NSW0159	2021_Bothwell_novogene_S4	NSW0159	Y	HBDecra
NSW0165	2021_Bothwell_novogene_S4	NSW0165	Y	HBDecra
NSW0166	2021_Bothwell_novogene_S4	NSW0166	Y	HBDecra
NSW0170	2021_Bothwell_novogene_S4	NSW0170	Y	HBDecra
NSW0172	2021_Bothwell_novogene_S4	NSW0172	Y	HBDecra
NSW0174	2021_Bothwell_novogene_S4	NSW0174	Y	HBDecra
NSW0175	2021_Bothwell_novogene_S4	NSW0175	Y	HBDecra
NSW0180	2021_Bothwell_novogene_S4	NSW0180	Y	HBDecra
NSW0181	2021_Bothwell_novogene_S4	NSW0181	Y	HBDecra
NSW0185	2021_Bothwell_novogene_S4	NSW0185	Y	HBDecra
