SampleID,Species,Latitude,Longitude,Altitude_m,Datum,Date,Seed,Collectors,Location,Comments,Trip_comments,Reads,Theoretical_coverage
CCA0704,Eucalyptus melliodora,-32.71222222,149.9661111,NA,WGS84,NA,NA,NA,NSW,NA,NA,86198801,19.45993665
EMW0001,Eucalyptus melliodora,-36.18417333,150.0986026,121.3435516,WGS84,2019-01-20T20:04:01Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,,,122681326,26.9908096
EMW0002,Eucalyptus melliodora,-34.29426229,150.0163724,163.0970959,WGS84,2019-01-20T20:57:36Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,,,105425513,23.04239942
EMW0003,Eucalyptus melliodora,-34.2938706,150.0160115,169.7630332,WGS84,2019-01-20T21:27:50Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,,,121443883,26.73404361
EMW0004,Eucalyptus melliodora,-34.30037412,150.0047701,193.350133,WGS84,2019-01-20T22:08:09Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,,,46966287,10.31157354
EMW0005,Eucalyptus melliodora,-34.30002065,150.0023791,198.5510064,WGS84,2019-01-20T22:25:27Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,Has lots of galls - haven't seen galls on other trees in this area,,39786628,8.539218942
EMW0006,Eucalyptus melliodora,-34.31277473,150.0875892,82.37350211,WGS84,2019-01-20T23:33:00Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,,,59579563,13.08462219
ENE0014,Eucalyptus melliodora,-29.84946,152.00108,NA,WGS84,2017-11-22T00:00:00Z,NA,NA,HRF1,NA,NA,92614752,19.55345102
ENE0026,Eucalyptus melliodora,-30.51734,151.97252,NA,WGS84,2017-11-24T00:00:00Z,NA,NA,Waterfall Way 2,NA,NA,106207474,22.50033632
GOL0001,Eucalyptus melliodora,-35.20836473,149.2588769,647.088135,WGS84,2019-03-19T17:22:22Z,N,Helen Bothwell & Kevin Murray,"S from M23 to Sutton Rd., then dirt rd. W",,,38578836,8.468301066
GOL0002,Eucalyptus melliodora,-35.24763865,149.2807351,792.967285,WGS84,2019-03-19T17:47:09Z,N,Helen Bothwell & Kevin Murray,"S on Sutton Rd., E on Norton Rd, N on Fernloff","Big, old tree; sampled resprout from base of trunk",,49039518,10.50110964
GOL0003,Eucalyptus melliodora,-35.28911448,149.4522442,738.412842,WGS84,2019-03-19T18:58:39Z,Y,Helen Bothwell & Kevin Murray,S out of Bungendore on Gidleigh Lane,"VERY fecund tree; many low branches, easy to sample",,59402184,13.06113801
GOL0004,Eucalyptus melliodora,-35.29944534,149.4607546,749.708008,WGS84,2019-03-19T19:22:07Z,Y,Helen Bothwell & Kevin Murray,Continueing S on Gidleigh Ln,"Some seed, but all green, looks like this years not yet matured",,72347489,15.85419252
GOL0005,Eucalyptus melliodora,-35.31586063,149.4957254,807.867432,WGS84,2019-03-19T20:00:03Z,Y,Helen Bothwell & Kevin Murray,Continueing S on Gidleigh Ln,"Few seed, but all green, looks like this years not yet matured",,57486998,12.41262711
GOL0006,Eucalyptus melliodora,-35.59996331,149.8112832,631.226807,WGS84,2019-03-19T22:49:11Z,N,Helen Bothwell & Kevin Murray,"Sawyer's Ridge Rd, E of Araluen Rd. S of Braidwood","Higher elevation, few Emel, lots of E. viminalis and Angophora that could be hybridizing w/ these",,71310349,15.59107053
GOL0007,Eucalyptus melliodora,-35.60009432,149.8113898,630.265381,WGS84,2019-03-19T22:50:12Z,N,Helen Bothwell & Kevin Murray,"Sawyer's Ridge Rd, E of Araluen Rd. S of Braidwood","Only ~10m from GOL0006; looks pretty reliable, but not totally sure it's E. mel; resprouted from v. old stump; lots of Angophora and ribbon gum that may be hybridizing w/ these two",,54917356,12.0488003
GOL0008,Eucalyptus melliodora,-35.6729831,149.8309023,158.501953,WGS84,2019-03-19T23:39:30Z,Y,Helen Bothwell & Kevin Murray,Araluen Rd,"Two trunks, one w/ very Emel leaves (broader), the other trunk with thinner, narrower leaves - could be different ontogeny",,58693940,12.84256509
GOL0009,Eucalyptus melliodora,-35.68992904,149.8492569,146.485474,WGS84,2019-03-20T00:00:55Z,N,Helen Bothwell & Kevin Murray,Araluen Rd,"Big, old tree, leaves a bit long & bark a bit pealy, but probably a good Emel, leaves nicely glaucous; lots of ribbonbark in area",,42186017,9.155553656
