SampleID	Species	Location	Date	Latitude	Longitude	Elevation	SampleName	Datum	Population	theoretical_coverage
J294	Eucalyptus albens	Keepit, Old Menedebri Rd	2015-09-29T00:00:00Z	-30.8942	150.66708	NA	J294	WGS84	NA	22.9559511806452
J295	Eucalyptus albens	Keepit, Somerton Main Rd	2015-09-29T00:00:00Z	-30.89198	150.6728	NA	J295	WGS84	NA	14.8073385467742
J303	Eucalyptus albens	Sawn Rocks, Kilarney Gap Rd	2015-09-30T00:00:00Z	-30.14391	150.05293	NA	J303	WGS84	NA	37.9355919516129
J341	Eucalyptus albens	Yellow Dam, Emmaville Rd	2015-11-05T00:00:00Z	-29.40223	151.41655	NA	J341	WGS84	NA	29.4079754983871
J345	Eucalyptus albens	Mullion, Mountain Creek Rd.	2015-11-20T00:00:00Z	-35.07022	148.83685	NA	J345	WGS84	NA	50.7699858709677
J349	Eucalyptus albens	Wee Jasper, Wee Jasper Rd.	2015-11-20T00:00:00Z	-35.24369	148.2968	NA	J349	WGS84	NA	33.1815702822581
J350	Eucalyptus albens	Tarcutta, Mates Gully Rd.	2015-11-20T00:00:00Z	-35.2456	147.68083	NA	J350	WGS84	NA	31.115048766129
J361	Eucalyptus albens	Nangar Natl Park, Dripping Rock Rd.	2015-11-22T00:00:00Z	-33.42118	148.51154	NA	J361	WGS84	NA	36.2089747032258
J374	Eucalyptus albens	Ensay	2016-01-24T00:00:00Z	-37.36159	147.85228	NA	J374	WGS84	NA	27.7943988193548
J376	Eucalyptus albens	McKillop Bridge	2016-01-25T00:00:00Z	-37.07782	148.34419	NA	J376	WGS84	NA	29.8996272516129
J376a	Eucalyptus albens	McKillop Bridge	2016-01-25T00:00:00Z	-37.07782	148.34419	NA	J376a	WGS84	NA	10.5795903629032
J377	Eucalyptus albens	Suggan Buggan	2016-01-25T00:00:00Z	-36.96985	148.30525	NA	J377	WGS84	NA	25.7235651177419
J386	Eucalyptus albens	Chiltern	2016-01-29T00:00:00Z	-36.14425	146.65103	NA	J386	WGS84	NA	22.786259933871
J388f	Eucalyptus albens	Warrangatta	2016-01-29T00:00:00Z	-36.26528	146.15425	NA	J388f	WGS84	NA	22.2199972887097
J390	Eucalyptus albens	Reef Road State Park	2016-01-29T00:00:00Z	-36.5877	145.96066	NA	J390	WGS84	NA	31.1694176887097
J393	Eucalyptus albens	Heathcote	2016-01-30T00:00:00Z	-36.93458	144.74492	NA	J393	WGS84	NA	28.3957911467742
J394g	Eucalyptus albens	Lake Eppalock	2016-01-30T00:00:00Z	-36.84715	144.52614	NA	J394g	WGS84	NA	28.3800276725806
J395a	Eucalyptus albens	Powers Rd, Woodstock on Loddon	2016-01-31T00:00:00Z	-36.76884	144.07336	NA	J395a	WGS84	NA	15.4774127612903
J406	Eucalyptus albens	Baldersleigh Rd, The Basin	2016-04-05T00:00:00Z	-30.23707	151.252	NA	J406	WGS84	NA	52.0948494290323
J413	Eucalyptus albens	Boggabri - private land	2016-06-16T00:00:00Z	-30.70737	150.09621	NA	J413	WGS84	NA	38.2362727258065
J414	Eucalyptus albens	Narrabri	2016-06-16T00:00:00Z	-30.49283	149.94203	NA	J414	WGS84	NA	39.4190693790323
J419	Eucalyptus albens	Warrumbungle	2016-06-23T00:00:00Z	-31.35926	148.93951	NA	J419	WGS84	NA	30.6360286032258
J424	Eucalyptus albens	Ardglen	2016-06-24T00:00:00Z	-31.71111	150.6998	NA	J424	WGS84	NA	39.7971511935484
J426	Eucalyptus albens	Bundarra	2016-07-09T00:00:00Z	-30.30846	151.20667	NA	J426	WGS84	NA	20.0699936822581
J428d	Eucalyptus albens	Inverell	2016-07-09T00:00:00Z	-29.6731	151.15315	NA	J428d	WGS84	NA	20.4062403435484
